time_index,year,week,slot,total_demand
1,2020,22,0,22.0
2,2020,23,1,315.0
3,2020,24,2,317.0
4,2020,25,3,337.0
5,2020,26,4,392.0
6,2020,27,5,385.0
7,2020,28,6,424.0
8,2020,29,7,439.0
9,2020,30,8,427.0
10,2020,31,9,481.0
11,2020,32,10,506.0
12,2020,33,11,365.0
13,2020,34,12,450.0
14,2020,35,13,368.0
15,2020,36,14,504.0
16,2020,37,15,479.0
17,2020,38,16,586.0
18,2020,39,17,497.0
19,2020,40,18,486.0
20,2020,41,19,585.0
21,2020,42,20,593.0
22,2020,43,21,476.0
23,2020,44,22,482.0
24,2020,45,23,482.0
25,2020,46,24,340.0
26,2020,47,25,476.0
27,2020,48,26,434.0
28,2020,49,27,574.0
29,2020,50,28,604.0
30,2020,51,29,520.0
31,2020,52,30,245.0
32,2021,1,31,354.0
33,2021,2,32,366.0
34,2021,3,33,351.0
35,2021,4,34,334.0
36,2021,5,35,21.0
