time_index,hour,temperature,humidity,wind_speed,visibility,dew_point_temperature,solar_radiation,rainfall,snowfall,season_autumn,season_spring,season_summer,season_winter,holiday_holiday,holiday_no_holiday,functioning_day_no,functioning_day_yes,rented_bike_count
1,0,-5.2,37,2.2,2000,-17.6,0,0,0,0,0,0,1,0,1,0,1,254
2,1,-5.5,38,0.8,2000,-17.6,0,0,0,0,0,0,1,0,1,0,1,204
3,2,-6,39,1,2000,-17.7,0,0,0,0,0,0,1,0,1,0,1,173
4,3,-6.2,40,0.9,2000,-17.6,0,0,0,0,0,0,1,0,1,0,1,107
5,4,-6,36,2.3,2000,-18.6,0,0,0,0,0,0,1,0,1,0,1,78
6,5,-6.4,37,1.5,2000,-18.7,0,0,0,0,0,0,1,0,1,0,1,100
7,6,-6.6,35,1.3,2000,-19.5,0,0,0,0,0,0,1,0,1,0,1,181
8,7,-7.4,38,0.9,2000,-19.3,0,0,0,0,0,0,1,0,1,0,1,460
9,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,0,0,0,1,0,1,0,1,930
10,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,0,0,0,1,0,1,0,1,490
11,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,0,0,0,1,0,1,0,1,339
12,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,0,0,0,1,0,1,0,1,360
13,12,1.7,23,1.4,2000,-17.2,1.11,0,0,0,0,0,1,0,1,0,1,449
14,13,2.4,25,1.6,2000,-15.6,1.16,0,0,0,0,0,1,0,1,0,1,451
15,14,3,26,2,2000,-14.6,1.01,0,0,0,0,0,1,0,1,0,1,447
16,15,2.1,36,3.2,2000,-11.4,0.54,0,0,0,0,0,1,0,1,0,1,463
17,16,1.2,54,4.2,793,-7,0.24,0,0,0,0,0,1,0,1,0,1,484
18,17,0.8,58,1.6,2000,-6.5,0.08,0,0,0,0,0,1,0,1,0,1,555
19,18,0.6,66,1.4,2000,-5,0,0,0,0,0,0,1,0,1,0,1,862
20,19,0,77,1.7,2000,-3.5,0,0,0,0,0,0,1,0,1,0,1,600
