time_index,lagging_current_reactive_power_kvarh,leading_current_reactive_power_kvarh,lagging_current_power_factor,leading_current_power_factor,nsm,month,day,hour,day_of_week_num,weekstatus_weekday,weekstatus_weekend,day_of_week_friday,day_of_week_monday,day_of_week_saturday,day_of_week_sunday,day_of_week_thursday,day_of_week_tuesday,day_of_week_wednesday,usage_kwh
1,2.95,0.0,73.21,100.0,900,1,1,0,0,1,0,0,1,0,0,0,0,0,3.17
2,4.46,0.0,66.77,100.0,1800,1,1,0,0,1,0,0,1,0,0,0,0,0,4.0
3,3.28,0.0,70.28,100.0,2700,1,1,0,0,1,0,0,1,0,0,0,0,0,3.24
4,3.56,0.0,68.09,100.0,3600,1,1,1,0,1,0,0,1,0,0,0,0,0,3.31
5,4.5,0.0,64.72,100.0,4500,1,1,1,0,1,0,0,1,0,0,0,0,0,3.82
6,3.56,0.0,67.76,100.0,5400,1,1,1,0,1,0,0,1,0,0,0,0,0,3.28
7,4.14,0.0,65.62,100.0,6300,1,1,1,0,1,0,0,1,0,0,0,0,0,3.6
8,4.28,0.0,64.37,100.0,7200,1,1,2,0,1,0,0,1,0,0,0,0,0,3.6
9,3.64,0.0,66.94,100.0,8100,1,1,2,0,1,0,0,1,0,0,0,0,0,3.28
10,4.72,0.0,62.51,100.0,9000,1,1,2,0,1,0,0,1,0,0,0,0,0,3.78
11,4.03,0.0,65.14,100.0,9900,1,1,2,0,1,0,0,1,0,0,0,0,0,3.46
12,3.64,0.0,66.49,100.0,10800,1,1,3,0,1,0,0,1,0,0,0,0,0,3.24
13,4.97,0.0,62.32,100.0,11700,1,1,3,0,1,0,0,1,0,0,0,0,0,3.96
14,3.74,0.0,66.27,100.0,12600,1,1,3,0,1,0,0,1,0,0,0,0,0,3.31
15,3.85,0.0,65.19,100.0,13500,1,1,3,0,1,0,0,1,0,0,0,0,0,3.31
16,5.0,0.0,61.4,100.0,14400,1,1,4,0,1,0,0,1,0,0,0,0,0,3.89
17,3.82,0.0,65.14,100.0,15300,1,1,4,0,1,0,0,1,0,0,0,0,0,3.28
18,4.28,0.0,63.95,100.0,16200,1,1,4,0,1,0,0,1,0,0,0,0,0,3.56
19,4.54,0.0,63.58,100.0,17100,1,1,4,0,1,0,0,1,0,0,0,0,0,3.74
20,3.6,0.0,67.68,100.0,18000,1,1,5,0,1,0,0,1,0,0,0,0,0,3.31
21,4.07,0.0,65.84,100.0,18900,1,1,5,0,1,0,0,1,0,0,0,0,0,3.56
22,4.1,0.0,65.56,100.0,19800,1,1,5,0,1,0,0,1,0,0,0,0,0,3.56
23,3.49,0.0,68.48,100.0,20700,1,1,5,0,1,0,0,1,0,0,0,0,0,3.28
24,4.32,0.0,65.85,100.0,21600,1,1,6,0,1,0,0,1,0,0,0,0,0,3.78
25,3.64,0.0,67.72,100.0,22500,1,1,6,0,1,0,0,1,0,0,0,0,0,3.35
26,3.35,0.0,69.52,100.0,23400,1,1,6,0,1,0,0,1,0,0,0,0,0,3.24
27,4.46,0.0,65.73,100.0,24300,1,1,6,0,1,0,0,1,0,0,0,0,0,3.89
28,3.53,0.0,68.4,100.0,25200,1,1,7,0,1,0,0,1,0,0,0,0,0,3.31
29,3.49,0.0,68.48,100.0,26100,1,1,7,0,1,0,0,1,0,0,0,0,0,3.28
30,4.75,0.0,62.97,100.0,27000,1,1,7,0,1,0,0,1,0,0,0,0,0,3.85
31,3.6,0.0,66.44,100.0,27900,1,1,7,0,1,0,0,1,0,0,0,0,0,3.2
32,3.78,0.0,65.88,100.0,28800,1,1,8,0,1,0,0,1,0,0,0,0,0,3.31
33,4.75,0.0,62.27,100.0,29700,1,1,8,0,1,0,0,1,0,0,0,0,0,3.78
34,3.74,0.0,65.94,100.0,30600,1,1,8,0,1,0,0,1,0,0,0,0,0,3.28
35,4.46,0.18,61.63,99.87,31500,1,1,8,0,1,0,0,1,0,0,0,0,0,3.49
36,0.0,15.66,100.0,24.11,32400,1,1,9,0,1,0,0,1,0,0,0,0,0,3.89
37,0.0,16.96,100.0,20.76,33300,1,1,9,0,1,0,0,1,0,0,0,0,0,3.6
38,0.0,21.28,100.0,18.61,34200,1,1,9,0,1,0,0,1,0,0,0,0,0,4.03
39,0.0,19.22,100.0,19.98,35100,1,1,9,0,1,0,0,1,0,0,0,0,0,3.92
40,0.0,16.88,100.0,21.08,36000,1,1,10,0,1,0,0,1,0,0,0,0,0,3.64
